age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
57.0,Private For-Profit,Bachelor's degree,Married,"Sales Representatives, Wholesale And Manufacturing",TENNESSEE,Reference person,60.0,Male,White,True
39.0,Private For-Profit,Bachelor's degree,MARRIED,Unknown,Philippines,Reference person,,Male,Asian,True
66.0,Local Government,Associate's degree,Divorced,"Computer Occupations, All Other",Washington,Reference person,40.0,Female,American Indian,True
58.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Plumbers, Pipefitters, And Steamfitters",texas,Reference person,60.0,Male,White,True
47.0,Self-Employed (Inc.),"One or more years of college credit, no degree",Married,Managers,SCOTLAND,Husband/wife,60.0,Male,White,True
53.0,Private For-Profit,Master's degree,widowed,Clinical And Counseling Psychologists,Texas,reference person,35.0,Female,White,True
56.0,State Government,Bachelor's degree,Married,Compliance Officers,Michigan,husband/wife,40.0,Male,White,True
60.0,Local Government,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,"Bus Drivers, School",Michigan,Husband/wife,20.0,F,White,False
59.0,Self-Employed (Not Inc.),grade 9,Married,Childcare Workers,Mexico,Reference person,50.0,Female,White,False
17.0,Private Non-Profit,Grade 10,Never married,Cooks,Virginia/VA,Biological son or daughter,15.0,Male,White,False
48.0,Self-Employed (Inc.),Regular high school diploma,Married,Driver/Sales Workers And Truck Drivers,Mexico,Husband/wife,55.0,Male,White,True
58.0,Self-Employed (Not Inc.),Bachelor's degree,Married,Recreation Workers,New Jersey,Husband/wife,50.0,Male,wht,True
19.0,Private For-Profit,"One or more years of college credit, no degree",Never married,"Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",Connecticut,Noninstitutionalized group quarters population,,Female,White,False
55.0,Private For-Profit,Bachelor's degree,Married,Management Analysts,Michigan,reference person,40.0,Female,White,True
43.0,Private For-Profit,BACHELOR'S DEGREE,Married,First-Line Supervisors Of Non-Retail Sales Workers,texas,Husband/wife,40.0,Male,White,True
-5.0,Private Non-Profit,Associate's degree,Divorced,Registered Nurses,Thailand,Reference person,36.0,Female,Asian,True
36.0,Private For-Profit,"One or more years of college credit, no degree",Married,Cost Estimators,California,Reference person,40.0,Male,White,True
32.0,Private For-Profit,Master's degree,Never married,"Compensation, Benefits, And Job Analysis Specialists",Alabama,Reference person,200.0,F,White,False
61.0,Private Non-Profit,Master's degree,Divorced,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Pennsylvania,Reference person,35.0,fem,White,False
60.0,Private For-Profit,"one or more years of college credit, no degree",Married,Customer Service Representatives,ILLINOIS,Husband/wife,40.0,Female,White,False
37.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,Personal Care Aides,new mexico,Biological son or daughter,9.0,Female,American Indian,False
57.0,Private For-Profit,Regular high school diploma,Married,Janitors And Building Cleaners,Guyana,Reference person,36.0,Male,Black,False
64.0,Private For-Profit,ASSOCIATE'S DEGREE,Married,Driver/Sales Workers And Truck Drivers,Washington,Reference person,40.0,Male,White,True
28.0,Private Non-Profit,MASTER'S DEGREE,Never married,"Social Workers, All Other",Rhode Island,Biological son or daughter,40.0,fem,White,False
44.0,Private For-Profit,Master's degree,Married,Unknown,Virginia/VA,Husband/wife,40.0,Male,White,True
20.0,Private For-Profit,Regular high school diploma,Never married,Dining Room And Cafeteria Attendants And Bartender Helpers,Colorado,Biological son or daughter,4.0,Male,White,False
57.0,Private For-Profit,Bachelor's degree,Married,Personal Financial Advisors,Rhode Island,Husband/wife,50.0,fem,Asian,True
38.0,Private For-Profit,"12TH GRADE, NO DIPLOMA",Married,Parts Salespersons,Ohio,Biological son or daughter,30.0,Male,White,False
23.0,Private For-Profit,"Some college, but less than 1 year",Never married,"Opticians, Dispensing",Ohio,Noninstitutionalized group quarters population,40.0,Female,White,False
68.0,Self-Employed (Not Inc.),doctorate degree,Widowed,Veterinarians,New York,Reference person,40.0,Male,White,True
50.0,Private For-Profit,Bachelor's degree,Married,Accountants And Auditors,Ethiopia,Reference person,40.0,Male,Black,True
20.0,Private For-Profit,Regular high school diploma,Never married,Cashiers,Pennsylvania,Noninstitutionalized group quarters population,39.0,Male,Two or More Race,False
60.0,Private For-Profit,Associate's degree,Married,"Purchasing Agents, Except Wholesale, Retail, And Farm Products",Oklahoma,Reference person,40.0,Male,White,True
34.0,Self-Employed (Not Inc.),BACHELOR'S DEGREE,Never married,First-Line Supervisors Of Non-Retail Sales Workers,Washington,Unmarried partner,25.0,Male,White,False
37.0,Private Non-Profit,"some college, but less than 1 year",Never married,Registered Nurses,Vietnam,Reference person,38.0,Female,Asian,True
34.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Taxi Drivers,California,Other nonrelative,35.0,Male,White,False
60.0,Private For-Profit,"Some college, but less than 1 year",Divorced,Electricians,Iowa,Reference person,40.0,Male,White,True
33.0,Private For-Profit,Grade 10,Married,Cooks,Mexico,Reference person,48.0,Male,Other Race,False
48.0,Private For-Profit,regular high school diploma,Married,"Shipping, Receiving, And Inventory Clerks",Massachusetts,Husband/wife,40.0,Male,White,True
38.0,Private Non-Profit,bachelor's degree,Married,Social And Community Service Managers,California,Husband/wife,40.0,Male,White,False
44.0,Private For-Profit,GED or alternative credential,Never married,First-Line Supervisors Of Retail Sales Workers,Illinois,Biological son or daughter,40.0,Female,Black,True
64.0,Private For-Profit,Regular high school diploma,Divorced,Industrial Production Managers,Ohio,Reference person,40.0,Female,White,False
36.0,Local Government,Associate's degree,Married,Paramedics,Illinois,Son-in-law or daughter-in-law,48.0,Male,White,False
44.0,Private For-Profit,regular high school diploma,Married,Managers,California,Reference person,40.0,Male,White,True
35.0,Private For-Profit,BACHELOR'S DEGREE,Divorced,Management Analysts,Georgia,reference person,45.0,Male,White,True
33.0,Local Government,"Some college, but less than 1 year",Married,Police Officers,California,Son-in-law or daughter-in-law,40.0,Male,Other Race,True
44.0,Private For-Profit,Associate's degree,Never married,Medical Assistants,Pennsylvania,Reference person,,Female,White,False
40.0,,"One or more years of college credit, no degree",Married,"Farmers, Ranchers, And Agricultural Managers",Minnesota,Husband/wife,60.0,Male,White,True
55.0,Private For-Profit,Associate's degree,Never married,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Cuba,Reference person,40.0,Female,White,False
52.0,Private For-Profit,Regular high school diploma,Married,Driver/Sales Workers And Truck Drivers,New York,Husband/wife,60.0,Male,White,True
58.0,Self-Employed (Inc.),Master's degree,Married,,Indiana,Reference person,55.0,Female,White,True
72.0,Local Government,Regular high school diploma,Widowed,,Florida,Reference person,40.0,Female,White,False
49.0,Private For-Profit,BACHELOR'S DEGREE,Divorced,First-Line Supervisors Of Office And Administrative Support Workers,Philippines,Unmarried partner,40.0,Female,Asian,False
999.0,Private For-Profit,Bachelor's degree,Widowed,First-Line Supervisors Of Non-Retail Sales Workers,New York,Reference person,40.0,Male,White,True
23.0,Private For-Profit,Bachelor's degree,Never married,Respiratory Therapists,Pennsylvania,Biological son or daughter,30.0,Female,White,False
41.0,Private For-Profit,GRADE 9,Married,"Inspectors, Testers, Sorters, Samplers, And Weighers",Mexico,husband/wife,30.0,Female,White,False
48.0,Private For-Profit,BACHELOR'S DEGREE,married,Reservation And Transportation Ticket Agents And Travel Clerks,CAMBODIA,husband/wife,40.0,Female,Asian,True
25.0,Private For-Profit,Bachelor's degree,Never married,Public Relations Specialists,Maryland,Biological son or daughter,45.0,Female,White,False
,Local Government,Bachelor's degree,Never married,Firefighters,Maryland,Reference person,48.0,Male,White,True
54.0,,Associate's degree,Never married,Electricians,Connecticut,Reference person,40.0,Male,White,False
48.0,State Government,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Correctional Officers,new york,Husband/wife,60.0,Female,White,True
30.0,Private For-Profit,"Some college, but less than 1 year",Never married,Helpers-Production Workers,california,noninstitutionalized group quarters population,40.0,male,White,False
49.0,Local Government,Associate's degree,Never married,Bailiffs,New York,Biological son or daughter,40.0,Male,White,False
56.0,,Regular high school diploma,Married,Retail Salespersons,texas,Husband/wife,50.0,Female,White,False
20.0,Private For-Profit,Regular high school diploma,Never married,Word Processors And Typists,Australia,Noninstitutionalized group quarters population,7.0,Female,White,False
71.0,Private For-Profit,Grade 8,Widowed,Waiters And Waitresses,Massachusetts,Reference person,13.0,Male,White,False
53.0,Private For-Profit,Master's degree,Never married,Customer Service Representatives,New York,other relative,40.0,Male,White,False
39.0,,Grade 10,Married,Driver/Sales Workers And Truck Drivers,Mexico,Reference person,40.0,m,White,True
33.0,Private For-Profit,Regular high school diploma,Married,Sales Managers,North Dakota,Reference person,60.0,Male,White,True
63.0,Local Government,"one or more years of college credit, no degree",Married,"Bus Drivers, School",Missouri,Reference person,40.0,Male,White,True
19.0,Local Government,"One or more years of college credit, no degree",Never married,Security Guards And Gaming Surveillance Officers,Iowa,Reference person,40.0,Male,White,False
42.0,Private For-Profit,Bachelor's degree,Separated,File Clerks,Texas,Reference person,40.0,Female,wht,True
33.0,Federal Government,"One or more years of college credit, no degree",Married,"Military, Rank Not Specified",California,Reference person,45.0,m,White,False
63.0,State Government,Bachelor's degree,Married,Urban And Regional Planners,California,Reference person,40.0,Female,White,True
58.0,Private For-Profit,Master's degree,Never married,Security Guards And Gaming Surveillance Officers,Connecticut,Biological son or daughter,40.0,Male,White,False
,Private For-Profit,BACHELOR'S DEGREE,Married,Web And Digital Interface Designers,Michigan,Reference person,40.0,fem,White,True
17.0,Private For-Profit,Grade 10,Never married,Food Preparation Workers,Tennessee,grandchild,30.0,Female,White,False
,Private For-Profit,Regular high school diploma,Never married,Cashiers,Pennsylvania,Biological son or daughter,25.0,fem,White,False
47.0,Private For-Profit,Bachelor's degree,Married,Life Scientists,CALIFORNIA,Reference person,55.0,Male,White,True
41.0,Private For-Profit,Bachelor's degree,Married,Purchasing Managers,massachusetts,Reference person,,Female,White,True
21.0,Private For-Profit,"one or more years of college credit, no degree",Never married,"Laborers And Freight, Stock, And Material Movers, Hand",Mississippi,Noninstitutionalized group quarters population,25.0,Female,Black,False
35.0,Private For-Profit,ASSOCIATE'S DEGREE,Married,Veterinary Technologists and Technicians,Michigan,Husband/wife,,Female,wht,False
31.0,,Bachelor's degree,Married,,iraq,Husband/wife,13.0,Female,White,False
42.0,State Government,"one or more years of college credit, no degree",Married,Compliance Officers,Florida,Reference person,40.0,Male,White,True
40.0,Private For-Profit,GED or alternative credential,Married,,Texas,Biological son or daughter,40.0,Male,Other Race,False
22.0,Private For-Profit,Grade 11,Never married,"Heating, Air Conditioning, And Refrigeration Mechanics And Installers",Florida,Housemate or roommate,40.0,m,White,False
51.0,Private For-Profit,Master's degree,Married,Postsecondary Teachers,California,Husband/wife,50.0,Male,White,True
36.0,Private For-Profit,Associate's degree,Married,Registered Nurses,california,Husband/wife,36.0,Female,White,True
64.0,Private For-Profit,GED or alternative credential,Married,Construction Laborers,Virginia/VA,Husband/wife,40.0,Male,White,False
66.0,Private For-Profit,Associate's degree,Married,Drafters,Colombia,Husband/wife,40.0,Female,White,False
47.0,Private For-Profit,bachelor's degree,Married,,florida,Husband/wife,50.0,fem,White,True
63.0,Local Government,Regular high school diploma,Married,Teaching Assistants,Virginia/VA,Reference person,30.0,Male,White,False
